fusion_id,qsim_tester,qsim_line,qsim_both,V_flag_analyze,M_flag_analyze,M_num_reps,V_num_reps,M_tester_total_1,M_Line_total_1,M_Both_total_1,M_tester_total_2,M_Line_total_2,M_Both_total_2,V_tester_total_1,V_Line_total_1,V_Both_total_1,V_tester_total_2,V_Line_total_2,V_Both_total_2,line
Exon_119,0.436170213,0.436170213,0.127659574,1,1,2,2,24,21,1,4,8,1,11,15,0,17,20,0,sample1
Exon_120,0.468680089,0.469798658,0.061521253,1,1,2,2,116,87,45,23,9,6,93,92,34,126,145,30,sample1
Exon_121,0.456510551,0.423571796,0.119917653,1,1,2,2,28,89,24,46,100,22,17,81,15,33,101,25,sample1
Exon_122,0.329787234,0.329787234,0.340425532,1,1,2,2,143,138,49,146,122,40,97,81,29,139,118,33,sample1
Exon_123,0.315602837,0.315602837,0.368794326,1,1,2,2,129,134,312,120,108,228,77,83,173,101,97,225,sample1
Exon_124,0.293796526,0.292307692,0.413895782,1,1,2,2,168,612,1415,150,532,1210,115,404,881,136,461,1006,sample1
Exon_125,0.040064103,0.040064103,0.919871795,1,1,2,2,32,39,1024,32,30,834,39,28,935,33,30,985,sample1
Exon_126,0.289405685,0.293712317,0.416881998,1,1,2,2,648,476,1672,789,559,2098,179,178,481,201,196,645,sample1
Exon_127,0.105865522,0.084406295,0.809728183,1,1,2,2,71,54,477,88,78,566,17,23,140,31,28,149,sample1
Exon_128,0.299850075,0.292353823,0.407796102,1,1,2,2,563,439,1084,618,519,1331,118,144,351,142,169,387,sample1
Exon_129,0.083554377,0.093501326,0.822944297,1,1,2,2,143,64,820,158,80,1005,41,25,232,43,29,278,sample1
Exon_130,0.213483146,0.213483146,0.573033708,1,1,2,2,128,146,342,153,166,405,18,20,59,28,32,67,sample1
Exon_131,0.154454621,0.18734388,0.658201499,1,1,2,2,117,85,381,107,108,382,67,48,220,79,61,264,sample1
Exon_132,0.160300811,0.151197309,0.68850188,1,1,2,2,70,94,300,83,95,265,55,60,131,40,60,186,sample1
Exon_133,0.12266289,0.12266289,0.754674221,1,1,2,2,38,29,242,24,27,191,14,21,101,13,16,90,sample1
Exon_134,0.169561621,0.077750207,0.752688172,1,1,2,2,50,55,94,51,58,81,28,19,63,28,28,63,sample1
Exon_135,0.161173269,0.185364379,0.653462353,1,1,2,2,60,80,92,36,72,100,34,45,63,33,45,73,sample1
Exon_136,0.166015625,0.13671875,0.697265625,1,1,2,2,29,33,45,28,42,55,16,18,37,18,42,42,sample1
Exon_137,0.151335312,0.196587537,0.652077151,1,1,2,2,93,100,171,83,72,182,53,61,119,95,69,125,sample1
Exon_138,0.5,0.5,0,1,1,2,2,155,134,18,179,126,21,82,69,13,82,108,20,sample1
Exon_139,0.5,0.5,0,1,1,2,2,66,69,5,55,65,0,43,44,2,46,48,3,sample1
Exon_140,0.415948276,0.415948276,0.168103448,1,1,2,2,81,246,94,89,244,91,42,117,29,56,169,67,sample1
Exon_141,0.501006036,0.498993964,0,1,1,2,2,75,59,69,14,22,14,20,24,20,28,35,34,sample1
Exon_142,0.358158996,0.357322176,0.284518828,1,1,2,2,76,282,178,18,80,48,36,136,95,46,159,96,sample1
Exon_143,0.47706422,0.275229358,0.247706422,1,1,2,2,28,22,0,29,16,0,19,15,0,27,19,0,sample1
Exon_144,0.275659824,0.287390029,0.436950147,1,1,2,2,29,28,60,18,27,58,12,20,32,15,19,55,sample1
Exon_145,0.255965293,0.160520607,0.5835141,1,1,2,2,63,53,101,66,56,116,37,43,71,48,38,69,sample1
Exon_146,0.291935484,0.214516129,0.493548387,1,1,2,2,70,35,80,49,41,62,37,21,53,33,29,56,sample1
Exon_147,0.389016018,0.324942792,0.28604119,1,1,2,2,34,26,42,29,23,44,18,18,19,19,16,24,sample1
Exon_148,0.29296875,0.099609375,0.607421875,1,1,2,2,32,60,86,42,67,82,25,45,58,35,55,72,sample1
Exon_149,0.232665639,0.317411402,0.449922958,1,1,2,2,29,34,44,25,17,47,10,14,27,17,28,45,sample1
Exon_150,0.271054494,0.343241331,0.385704176,1,1,2,2,28,30,65,19,44,80,13,22,38,17,36,60,sample1
Exon_151,0.119047619,0.119047619,0.761904762,1,1,2,2,92,109,624,96,137,649,60,74,434,65,97,485,sample1
Exon_152,0.302564103,0.302564103,0.394871795,1,1,2,2,154,204,355,158,188,367,144,155,294,140,139,288,sample1
Exon_153,0.513986014,0.486013986,0,1,1,2,2,17,238,33,13,202,42,27,243,39,24,315,64,sample1
Exon_154,0.262764085,0.262764085,0.474471831,1,1,2,2,338,647,1127,326,594,1033,436,863,1461,508,1038,1590,sample1
Exon_155,0.316690442,0.316690442,0.366619116,1,1,2,2,157,152,429,122,157,426,199,252,693,250,276,804,sample1
Exon_156,0.421342513,0.420998279,0.157659208,1,1,2,2,74,610,410,63,456,293,92,613,400,94,706,463,sample1
Exon_157,0.422302158,0.422302158,0.155395683,1,1,2,2,35,90,55,35,120,46,17,33,17,21,34,23,sample1
Exon_158,0.048177888,0.048177888,0.903644225,1,1,2,2,35,30,911,30,30,844,22,30,536,29,28,656,sample1
Exon_159,0.135383387,0.135383387,0.729233227,1,1,2,2,61,53,390,77,65,405,57,44,380,50,48,399,sample1
Exon_160,0.288166215,0.289069557,0.422764228,1,1,2,2,189,123,338,199,107,276,107,74,209,157,93,243,sample1
Exon_161,0.385547576,0.385547576,0.228904847,1,1,2,2,269,19,88,222,14,59,219,14,73,236,17,77,sample1
Exon_162,0.123889876,0.129218472,0.746891652,1,1,2,2,25,8,135,46,37,250,15,11,93,21,16,104,sample1
Exon_163,0.226519337,0.182320442,0.591160221,1,1,2,2,72,74,239,87,58,253,46,35,130,36,43,135,sample1
Exon_164,0.504950495,0.495049505,0,1,1,2,2,41,27,0,30,27,0,22,18,0,29,17,0,sample1
Exon_165,0.163015464,0.159149485,0.677835052,1,1,2,2,197,174,812,206,164,799,135,124,587,158,159,636,sample1
Exon_166,0.092037984,0.099342586,0.80861943,1,1,2,2,25,22,192,34,16,170,16,23,142,23,25,143,sample1
Exon_167,0.10483871,0.115591398,0.779569892,1,1,2,2,41,39,300,53,46,309,32,27,183,30,29,215,sample1
Exon_168,0.138533178,0.158323632,0.70314319,1,1,2,2,55,38,337,60,44,270,31,37,211,43,54,195,sample1
Exon_169,0.195424214,0.218303146,0.586272641,1,1,2,2,50,68,146,45,68,165,38,36,80,37,44,111,sample1
Exon_170,0.492537313,0.507462687,0,1,1,2,2,31,35,0,29,27,0,15,13,0,15,27,0,sample1
Exon_171,0.168632075,0.170990566,0.660377358,1,1,2,2,139,159,559,124,169,562,100,117,390,104,138,390,sample1
